n_train,n_test,obs_top1,obs_top1_ci_lo,obs_top1_ci_hi,obs_top3,obs_top3_ci_lo,obs_top3_ci_hi,obs_mae,obs_mae_ci_lo,obs_mae_ci_hi,pred_top1,pred_top1_ci_lo,pred_top1_ci_hi,pred_top3,pred_top3_ci_lo,pred_top3_ci_hi,pred_mae,pred_mae_ci_lo,pred_mae_ci_hi,elapsed_s
800,2090,0.6526315789473685,0.6320454545454545,0.6717703349282297,0.47751196172248805,0.4574162679425837,0.49904306220095696,4.608410979602115,4.5381692169694245,4.683687059163167,0.7177033492822966,0.6985526315789473,0.7363636363636363,0.6430622009569378,0.6215311004784689,0.6607655502392344,2.6719632311737573,2.6054005560584512,2.7399719546101124,173.6696708202362
900,2090,0.6416267942583732,0.6215191387559809,0.6607655502392344,0.4722488038277512,0.4511961722488038,0.49380382775119613,4.638014683028533,4.564013364913642,4.708271830285335,0.7239234449760765,0.7043062200956938,0.7411483253588517,0.6478468899521531,0.6258253588516746,0.6674641148325359,2.6455342902711325,2.58068841868184,2.70513141730247,165.79499697685242
1000,2090,0.6440191387559808,0.6244019138755981,0.6650837320574163,0.47416267942583734,0.454066985645933,0.4966507177033493,4.606825725246778,4.52766031345498,4.680031544860146,0.7263157894736842,0.7066985645933014,0.7445095693779905,0.6444976076555023,0.6244019138755981,0.6636363636363637,2.7286197680934525,2.6575438327083063,2.7987063019957756,166.99203777313232
1250,2090,0.6392344497607656,0.6181818181818182,0.659342105263158,0.4842105263157895,0.46220095693779906,0.5057535885167465,4.610899460276191,4.533176551961178,4.68921513744921,0.7220095693779904,0.7033373205741626,0.7416267942583732,0.6440191387559808,0.6229665071770335,0.6645933014354067,2.7323106599422387,2.6626861610414236,2.8064794010517695,171.7835876941681
1500,2090,0.6397129186602871,0.6186483253588516,0.6602870813397129,0.45789473684210524,0.43732057416267944,0.48086124401913877,4.673404990233244,4.594895445527371,4.747177311408614,0.7191387559808613,0.7,0.7397129186602871,0.6468899521531101,0.6277392344497608,0.6679425837320574,2.6907948618474933,2.6207803946290786,2.752314889650416,182.71065521240234
1750,2090,0.6598086124401914,0.639700956937799,0.6794377990430622,0.469377990430622,0.4492703349282297,0.48948564593301436,4.57561975221255,4.496009746053028,4.648493561712051,0.7177033492822966,0.6990311004784688,0.7358851674641148,0.6478468899521531,0.6277511961722488,0.6684210526315789,2.7266261476787794,2.6532104023880345,2.7921118636579156,183.39989972114563
2000,2090,0.6382775119617224,0.6186483253588516,0.6583732057416268,0.46220095693779906,0.44066985645933016,0.4842105263157895,4.635862253590786,4.565163666877656,4.706282321890009,0.723444976076555,0.7038277511961722,0.7425956937799043,0.6444976076555023,0.6248803827751196,0.6641267942583733,2.6871578516315355,2.61814423574292,2.7545213425147637,182.5612223148346
2250,2090,0.6535885167464115,0.6334928229665072,0.6722488038277512,0.4564593301435407,0.4354066985645933,0.47703349282296653,4.613193683484543,4.536452838824722,4.685478020831206,0.7200956937799043,0.7014354066985646,0.7382894736842106,0.6440191387559808,0.623444976076555,0.6641148325358852,2.667706582180266,2.601499525841631,2.7356021541876805,184.63478922843933
2500,2090,0.6507177033492823,0.6296531100478469,0.6703349282296651,0.4631578947368421,0.4416267942583732,0.48613636363636364,4.594126675151606,4.516285900764779,4.667281342662228,0.7114832535885167,0.6909090909090909,0.7311124401913875,0.6440191387559808,0.623433014354067,0.6641148325358852,2.7116201129359023,2.639626169231432,2.7807845973964396,184.21154189109802
2750,2090,0.6497607655502392,0.6287081339712919,0.6698684210526317,0.4755980861244019,0.454055023923445,0.4966507177033493,4.649090194450306,4.569571113546183,4.717416961314123,0.7253588516746412,0.7047846889952153,0.7444976076555024,0.6502392344497607,0.6310885167464114,0.669377990430622,2.711000474158369,2.6406027738264584,2.780249822190612,203.1107897758484
3000,2090,0.6607655502392344,0.6406578947368421,0.6799162679425838,0.4698564593301435,0.44880382775119615,0.49186602870813395,4.598085557226831,4.518319648816532,4.6720680876671175,0.722488038277512,0.7038277511961722,0.7397129186602871,0.6464114832535885,0.6267942583732058,0.6655502392344498,2.7241745333850593,2.6571181678089575,2.7942819464201043,195.19643115997314
3134,2090,0.662200956937799,0.6416267942583732,0.6822966507177034,0.4660287081339713,0.4449760765550239,0.48851674641148324,4.6408675736930585,4.559470576091075,4.713954889162646,0.7133971291866029,0.6947368421052632,0.7325358851674642,0.6444976076555023,0.6248803827751196,0.6631578947368421,2.7246325272641063,2.654314975861029,2.7953791111685846,200.2043797969818
