person_id,true_best_party,n_train,n_items_asked_50,obs_top1,obs_top3,obs_mae_mean,pred_top1,pred_top3,pred_mae_mean,obs_mae_CDU,obs_mae_DIE LINKE,obs_mae_Die Grünen,obs_mae_FDP,obs_mae_SPD,obs_mae_bunt.saar,pred_mae_CDU,pred_mae_DIE LINKE,pred_mae_Die Grünen,pred_mae_FDP,pred_mae_SPD,pred_mae_bunt.saar
2948,SPD,300,19,0.0,0.0,5.307610241820768,0.0,0.0,4.279279279279277,2.7916073968705533,3.1472261735419664,10.241820768136563,2.080369843527734,7.325746799431002,6.258890469416791,6.418918918918926,1.3513513513513473,7.0945945945945965,5.743243243243235,4.391891891891881,0.6756756756756772
2322,Die Grünen,300,19,1.0,0.0,4.6348980559506865,1.0,0.0,1.5765765765765754,2.1337126600284577,5.4409672830725455,0.32005689900426404,5.4765291607396875,9.210526315789465,5.2275960170697005,3.378378378378372,0.3378378378378457,0.0,0.3378378378378315,4.054054054054056,1.3513513513513473
2073,CDU,300,19,1.0,1.0,2.207799905168328,0.0,0.0,3.547297297297296,2.6493598862019923,3.2183499288762576,3.1827880512090942,2.6493598862019923,0.8534850640113874,0.6934566145092447,3.378378378378372,1.0135135135135087,3.0405405405405475,3.378378378378372,4.391891891891888,6.081081081081088
1802,Die Grünen,300,19,1.0,1.0,5.781768610715979,0.0,1.0,2.8153153153153134,5.334281650071119,6.436699857752494,6.436699857752494,4.409672830725455,6.081081081081081,5.992176386913229,2.3648648648648702,1.689189189189186,3.0405405405405332,6.756756756756751,1.3513513513513544,1.689189189189186
2079,Die Grünen,300,19,1.0,0.0,5.648411569464202,1.0,0.0,2.0833333333333335,2.809388335704128,2.3470839260312957,5.209815078236119,1.546941678520632,14.580369843527748,7.396870554765293,2.0270270270270245,0.3378378378378386,3.0405405405405332,2.3648648648648702,2.702702702702716,2.0270270270270174
166,FDP,300,19,1.0,1.0,2.249288762446658,1.0,1.0,6.137387387387389,3.8229018492176436,2.6671408250355597,0.5156472261735487,4.463015647226172,0.8357041251778057,1.1913229018492189,1.3513513513513473,5.405405405405411,8.445945945945944,2.0270270270270316,7.0945945945945965,12.500000000000004
703,DIE LINKE,300,19,1.0,0.0,2.9901612138454254,0.0,1.0,1.745495495495497,3.236130867709818,1.369132290184929,0.9068278805120897,5.174253200568991,6.916785206258886,0.3378378378378386,1.3513513513513544,2.3648648648648702,1.689189189189193,1.689189189189186,0.3378378378378386,3.0405405405405403
3381,Die Grünen,300,19,1.0,1.0,5.618776671408252,1.0,1.0,1.9144144144144153,0.8179231863442382,14.793741109530586,4.889758179231862,2.080369843527734,7.681365576102436,3.449502133712656,0.6756756756756843,4.729729729729726,0.3378378378378386,3.7162162162162105,2.0270270270270316,0.0
3041,SPD,300,19,1.0,0.0,3.4939544807965865,0.0,0.0,2.1396396396396384,4.409672830725462,2.080369843527741,6.169985775248932,4.071834992887624,2.773826458036986,1.4580369843527734,3.7162162162162176,0.6756756756756701,2.364864864864863,1.3513513513513615,1.3513513513513473,3.378378378378372
1336,bunt.saar,300,19,1.0,0.0,3.7339971550497864,1.0,1.0,2.759009009009008,0.3911806543385552,2.115931721194869,4.783072546230443,7.752489331436706,2.578236130867701,4.783072546230443,3.378378378378379,4.054054054054056,2.7027027027027017,1.0135135135135087,2.702702702702709,2.7027027027026946
4555,bunt.saar,300,19,0.0,0.0,7.346491228070175,1.0,1.0,1.9144144144144153,3.200568990042669,3.9295874822190555,8.605974395448087,4.320768136557611,13.05120910384067,10.970839260312957,2.364864864864863,2.3648648648648702,3.0405405405405475,0.0,0.675675675675663,3.0405405405405475
4307,FDP,300,19,0.0,1.0,6.721194879089613,1.0,1.0,1.1824324324324358,4.338549075391185,6.792318634423893,5.423186344238971,9.40611664295875,6.294452347083919,8.072546230440963,1.013513513513523,1.689189189189186,1.3513513513513544,0.0,2.702702702702709,0.33783783783784216
378,CDU,300,19,1.0,1.0,3.7695590327169284,1.0,1.0,2.027027027027023,0.8001422475106637,6.970128022759603,3.058321479374115,4.925320056899011,5.565433854907539,1.2980085348506378,1.0135135135135158,4.054054054054042,1.0135135135135087,0.3378378378378386,1.689189189189186,4.054054054054049
1251,CDU,300,19,0.0,1.0,2.258179231863437,1.0,1.0,1.9707207207207194,2.916073968705547,4.160739687055475,0.07112375533427695,3.1294452347083777,0.07112375533427695,3.200568990042669,3.0405405405405332,1.0135135135135158,2.0270270270270174,1.689189189189193,3.378378378378372,0.6756756756756843
4206,FDP,300,19,0.0,0.0,4.332622095779993,0.0,0.0,1.970720720720723,3.9118065433855023,8.339260312944525,0.8890469416785152,5.654338549075405,4.19630156472261,3.0049786628733983,1.689189189189186,0.3378378378378386,2.3648648648648702,1.3513513513513615,1.3513513513513544,4.729729729729726
259,SPD,300,19,0.0,1.0,6.738975817923184,0.0,0.0,6.024774774774772,5.245376955903268,2.3115220483641536,10.526315789473685,5.352062588904694,6.116642958748223,10.881934566145084,4.054054054054049,3.0405405405405403,7.432432432432435,7.094594594594589,8.445945945945944,6.081081081081074
2802,Die Grünen,300,19,0.0,0.0,6.8604788999525885,1.0,1.0,2.364864864864868,0.9423897581792318,6.7745376955903325,8.339260312944532,1.0668563300142253,15.23826458036985,8.801564722617357,3.0405405405405332,0.0,1.3513513513513686,5.743243243243242,3.7162162162162247,0.3378378378378386
142,FDP,300,19,1.0,0.0,4.522285443338075,1.0,0.0,3.1531531531531556,0.604551920341386,3.662873399715501,5.743243243243249,10.046230440967292,1.3157894736842124,5.7610241820768096,2.702702702702709,4.391891891891888,2.702702702702709,8.108108108108112,0.0,1.0135135135135158
2557,bunt.saar,300,19,1.0,1.0,4.744547178757707,1.0,1.0,4.7860360360360374,4.640825035561875,3.236130867709818,2.8627311522048444,4.694167852062591,9.388335704125176,3.6450924608819406,3.0405405405405332,4.391891891891902,7.770270270270274,2.0270270270270316,6.756756756756758,4.729729729729726
2131,bunt.saar,300,19,0.0,1.0,5.369843527738268,1.0,0.0,1.5202702702702655,2.151493598862025,2.720483641536269,7.716927453769557,4.925320056899011,6.952347083926043,7.752489331436699,1.3513513513513544,1.3513513513513402,2.0270270270270316,1.3513513513513473,2.0270270270270174,1.0135135135135016
3182,FDP,300,19,0.0,1.0,4.676386913229018,1.0,1.0,1.74549549549549,4.2140825035561775,5.565433854907539,2.3470839260312957,8.285917496443822,3.0405405405405403,4.605263157894733,0.3378378378378244,2.7027027027026946,2.364864864864863,0.675675675675663,2.364864864864863,2.0270270270270316
2908,DIE LINKE,300,19,0.0,0.0,4.000711237553344,0.0,0.0,4.5045045045045065,5.4409672830725455,1.3869132290184822,6.027738264580371,9.139402560455203,1.1379800853485094,0.8712660028449548,7.432432432432435,3.0405405405405332,3.0405405405405403,4.054054054054063,5.743243243243249,3.7162162162162176
4585,bunt.saar,300,19,1.0,1.0,5.1357278330962535,1.0,0.0,1.4076576576576585,3.1294452347083777,7.770270270270274,1.2802275960170704,2.151493598862025,13.015647226173549,3.4672830725462234,2.0270270270270174,2.3648648648648702,0.6756756756756772,2.702702702702709,0.6756756756756772,0.0
806,bunt.saar,300,19,1.0,0.0,3.556187766714084,1.0,1.0,3.941441441441443,0.0,4.943100995732571,2.2759601706970187,1.2446657183499283,10.91749644381224,1.9559032716927476,0.3378378378378386,2.0270270270270316,6.081081081081081,1.3513513513513544,7.432432432432435,6.418918918918919
268,Die Grünen,300,19,1.0,0.0,6.2470365101944045,1.0,0.0,2.0270270270270223,2.880512091038412,2.418207681365587,7.965860597439544,5.014224751066855,13.65576102418207,5.547652916073957,2.364864864864863,0.675675675675663,3.378378378378372,2.7027027027027017,2.364864864864856,0.6756756756756772
